UID,Name,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,Height,Weight,AerialAbility,CommandOfArea,Communication,Eccentricity,Handling,Kicking,OneOnOnes,Reflexes,RushingOut,TendencyToPunch,Throwing,Corners,Crossing,Dribbling,Finishing,FirstTouch,Freekicks,Heading,LongShots,Longthrows,Marking,Passing,PenaltyTaking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decisions,Determination,Flair,Leadership,OffTheBall,Positioning,Teamwork,Workrate,Acceleration,Agility,Balance,Jumping,LeftFoot,NaturalFitness,Pace,RightFoot,Stamina,Strength,Consistency,Dirtiness,ImportantMatches,InjuryProness,Versatility,Adaptability,Ambition,Loyalty,Pressure,Professional,Sportsmanship,Temperament,Controversy,PositionsDesc,Goalkeeper,Sweeper,Striker,AttackingMidCentral,AttackingMidLeft,AttackingMidRight,DefenderCentral,DefenderLeft,DefenderRight,DefensiveMidfielder,MidfielderCentral,MidfielderLeft,MidfielderRight,WingBackLeft,WingBackRight
115919,Leonardo,1651,09/03/1983,33,0,0,2,0,171,69,1,2,3,3,3,1,1,3,3,2,3,9,11,15,11,14,11,5,14,6,4,13,14,4,15,7,11,10,11,8,13,11,7,18,4,11,4,8,6,13,13,8,5,20,9,11,7,9,8,8,4,12,14,14,14,8,7,12,9,6,18,18,M/AM RLC,1,1,14,20,15,15,1,1,1,1,18,15,15,1,1
12029353,Jeferson,1651,22/06/1987,29,0,0,0,0,182,77,3,1,1,2,3,2,1,2,1,3,1,7,7,13,13,13,7,13,7,1,7,8,5,3,12,10,11,2,10,8,9,9,8,12,11,13,8,7,9,13,13,8,8,10,15,13,20,13,10,10,10,10,14,10,10,10,11,10,11,9,5,6,S ,1,1,20,1,1,13,1,1,1,1,1,1,1,1,1
12029409,Régis de Souza,1651,25/01/1982,34,0,0,0,0,188,0,2,1,3,1,1,3,1,2,3,3,2,9,7,10,11,10,13,13,12,1,6,9,5,1,11,13,13,4,13,6,6,12,3,9,9,13,8,7,8,13,12,11,13,20,11,11,10,11,11,10,4,9,8,10,17,8,13,10,13,8,1,7,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
12037888,Guto,1651,20/01/1990,26,0,0,0,0,179,77,1,1,3,3,1,2,3,1,3,2,2,10,9,13,8,13,13,7,11,4,3,12,11,3,15,7,10,6,5,6,12,7,7,13,7,13,4,11,5,12,14,7,5,20,6,11,8,6,6,8,4,8,12,9,7,10,11,9,11,1,3,1,AM RLC,1,1,1,20,18,15,1,1,1,1,10,10,10,1,1
12053864,Orlando,1651,07/08/1985,30,0,0,0,0,175,75,3,2,3,1,1,3,3,1,2,1,2,10,13,8,7,9,8,8,7,4,3,6,5,6,11,9,10,4,7,7,7,9,7,11,9,8,6,7,8,13,13,5,8,20,13,13,6,6,8,9,6,4,9,9,17,13,10,12,9,1,11,7,AM L,1,1,15,1,20,13,1,1,1,1,1,13,6,1,1
120919,Juliano Vicentini,1651,26/08/1981,34,0,0,0,0,179,70,3,2,1,1,1,1,4,4,3,2,1,11,12,10,8,10,11,11,12,5,8,12,11,9,10,12,10,13,12,10,13,10,11,12,10,11,10,11,10,12,12,12,8,7,12,11,20,13,11,16,10,14,10,11,8,14,14,12,14,13,10,6,M/AM C,1,1,1,20,1,1,1,1,1,13,20,1,1,1,1
121098,Lima,1651,17/04/1971,45,0,0,0,0,176,79,1,1,1,1,1,1,1,1,1,1,1,5,10,9,5,14,5,10,8,12,15,15,5,14,12,15,14,16,8,12,11,14,18,5,9,10,13,12,11,6,9,10,9,20,8,7,4,6,9,9,14,10,2,11,17,15,15,14,9,11,10,12,DM C,1,1,1,1,1,1,2,14,3,20,15,13,7,14,5
121163,Matuzalém,1651,10/06/1980,36,0,0,4,0,175,70,1,2,2,1,3,2,4,1,1,3,2,14,8,10,5,12,12,4,12,3,6,13,11,11,14,16,10,13,12,12,11,10,14,14,14,11,10,12,13,8,9,10,7,20,7,9,12,9,14,12,17,15,17,8,15,15,8,12,14,9,16,11,M/AM C,1,1,1,16,1,1,1,1,1,15,20,9,4,1,1
127913,Léo Moura,1651,23/10/1978,37,1,0,0,0,178,66,3,2,2,1,1,3,1,4,2,1,1,12,12,15,13,13,14,10,12,12,8,14,15,11,15,16,13,13,12,12,15,14,14,13,15,14,11,15,14,11,9,12,9,10,14,11,20,9,11,11,14,14,13,14,12,9,12,11,12,8,12,12,D/WB/M R,1,1,1,10,1,10,7,1,19,5,10,1,16,1,20
13110751,Sidney,1651,09/02/1987,29,0,0,0,0,170,72,1,2,3,2,2,1,1,2,1,3,2,7,10,7,8,9,6,3,3,4,7,10,3,10,8,5,10,9,10,9,6,14,8,10,13,9,10,6,7,14,14,9,3,8,12,14,20,10,7,10,10,9,10,10,9,12,11,11,11,2,8,8,D/WB R,1,1,1,1,1,15,1,1,19,1,1,1,15,1,20
13132727,Jorginho,1651,03/05/1988,28,0,0,0,0,181,75,2,1,3,3,2,1,2,1,1,4,3,5,11,12,13,11,8,10,8,8,7,11,12,7,12,10,11,11,12,13,12,12,10,12,11,12,13,13,14,11,12,11,10,9,12,12,20,12,12,11,9,12,9,12,11,11,12,9,11,9,8,5,S ,1,1,20,1,13,13,1,1,1,1,1,1,1,1,1
13150999,Paulo Sérgio,1651,06/11/1983,32,0,0,0,0,177,0,1,1,2,2,2,4,2,1,2,3,2,6,8,8,3,11,5,11,6,4,15,8,2,14,11,8,14,11,10,11,10,15,2,5,12,8,13,10,10,12,12,5,5,13,12,9,20,15,8,5,6,9,10,10,16,11,10,11,10,11,11,8,D/WB RC,1,1,1,1,1,1,15,1,20,1,1,1,1,1,18
13173991,Judicael,1651,09/09/1994,21,0,0,0,0,178,0,4,3,2,3,2,2,1,2,4,3,1,5,5,12,13,14,7,14,8,1,6,8,9,3,12,9,5,8,9,8,6,11,4,11,13,13,8,7,8,14,14,5,5,9,10,14,20,9,7,9,5,7,9,9,10,11,12,11,11,5,16,3,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
13173992,Felipe Tiago,1651,04/05/1990,26,0,0,0,0,190,0,3,2,3,3,1,1,1,2,3,1,1,4,4,3,5,7,1,14,1,4,14,6,4,14,3,7,10,9,7,8,7,14,9,1,12,4,9,7,8,12,11,8,16,4,14,11,20,11,9,9,7,1,8,9,7,9,10,12,13,1,16,6,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1348,Glaysson,1651,01/03/1979,37,0,0,0,0,183,94,12,12,10,6,14,12,12,10,12,5,10,5,1,2,2,7,7,1,1,1,1,4,2,2,7,10,10,14,8,8,8,13,5,3,11,1,14,10,9,11,12,10,12,20,9,13,11,8,17,10,7,14,6,10,17,12,13,13,10,14,8,4,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394630981,Marconi,1651,22/06/1988,28,0,0,0,0,172,75,1,1,2,3,2,3,1,2,1,3,2,1,7,10,9,10,8,9,10,6,12,11,9,11,10,12,10,14,9,11,9,10,12,9,11,7,14,13,13,11,11,12,7,8,14,11,20,13,10,12,10,10,7,10,11,12,8,11,11,9,12,10,DM/M C,1,1,1,7,1,1,1,1,1,18,20,1,1,1,1
1394630982,Jean,1651,23/08/1987,28,0,0,0,0,189,0,1,4,2,3,3,3,1,1,1,2,2,5,6,7,12,12,5,12,7,1,4,7,6,3,12,8,5,6,7,7,7,11,7,13,7,12,7,5,7,12,12,7,12,8,10,12,20,11,9,9,9,9,4,9,14,11,13,10,10,4,11,5,AM/S C,1,1,20,17,1,1,1,1,1,1,1,1,1,1,1
1394630987,Araújo,1651,12/05/1988,28,0,0,0,0,188,77,2,1,3,2,1,1,1,1,2,2,2,2,4,6,7,8,7,13,9,5,12,10,9,12,8,13,10,13,8,11,7,9,12,3,8,9,12,13,13,12,10,13,15,10,14,11,20,13,13,12,11,10,8,8,12,11,10,11,13,8,11,7,D C,1,11,1,1,1,1,20,1,1,1,1,1,1,1,1
1394630993,Itacaré,1651,21/08/1987,28,0,0,0,0,181,81,3,2,2,1,3,2,3,3,3,1,3,2,6,8,12,8,3,12,10,1,3,8,12,2,9,12,12,13,11,8,7,10,13,16,3,12,5,9,10,11,11,12,12,12,15,11,20,12,14,12,8,15,8,10,15,13,14,12,14,7,12,8,S ,1,1,20,10,1,1,1,1,1,1,1,1,1,1,1
1394630999,Marcelo,1651,24/01/1989,27,0,0,0,0,184,81,1,1,1,3,3,2,2,2,1,2,3,8,6,8,12,10,8,12,9,1,3,8,14,4,9,4,11,12,11,8,8,11,10,9,8,11,9,8,11,10,8,13,13,9,13,9,20,12,13,13,9,2,9,9,15,10,12,10,11,6,4,6,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
1394662743,Luiz Fernando,1651,12/05/2000,16,0,0,0,0,177,0,1,2,3,3,2,2,2,1,2,3,1,3,5,1,2,6,1,4,4,1,6,5,1,6,9,10,6,11,4,5,3,7,2,13,3,2,6,8,4,12,12,13,6,20,13,10,12,6,4,8,13,9,5,6,13,11,8,10,11,12,10,7,D L,1,1,1,1,1,1,1,20,7,1,1,1,1,6,1
1394662744,Lídio,1651,03/12/2000,15,0,0,0,0,166,0,2,1,1,4,2,1,2,2,3,2,3,5,6,5,3,5,1,2,5,5,7,4,2,6,5,6,7,8,4,7,2,10,5,10,9,5,7,12,7,13,7,14,6,8,9,11,20,6,6,5,6,7,8,14,5,7,7,7,10,3,2,5,D R,1,1,1,1,1,1,1,5,20,1,1,1,1,1,8
1394662745,Alexandre,1651,08/09/2000,15,0,0,0,0,178,0,3,2,1,1,2,1,2,1,1,2,2,4,2,3,4,6,4,6,5,4,6,5,5,12,3,7,6,16,6,5,5,7,7,9,8,6,10,13,9,10,7,7,7,9,14,9,20,8,5,7,15,7,14,9,12,11,8,11,10,9,11,8,D RC,1,1,1,1,1,1,20,6,19,1,1,1,1,1,7
1394662746,Ygor,1651,09/06/2000,16,0,0,0,0,174,0,1,1,3,1,3,2,3,3,3,2,1,3,4,3,1,6,1,6,3,3,11,4,3,15,3,10,9,5,3,7,3,6,3,2,8,3,9,12,7,9,6,2,8,8,11,8,20,8,5,5,8,12,15,4,12,6,5,9,16,6,12,10,D RLC,1,1,1,1,1,1,20,15,15,1,1,1,1,5,7
1394662747,Carlos Antônio,1651,30/12/2000,15,0,0,0,0,189,0,2,2,2,2,2,1,2,3,1,1,1,3,2,1,1,3,1,4,1,2,9,4,2,6,7,11,5,4,1,6,2,10,5,6,4,1,5,1,4,10,10,12,12,8,6,8,20,7,5,4,9,14,7,10,8,7,14,11,5,10,6,6,D RLC,1,1,1,1,1,1,20,17,17,1,1,1,1,6,6
1394662748,Diogo Jaime,1651,25/04/2000,16,0,0,0,0,186,0,2,7,3,10,14,5,5,10,7,7,3,1,2,1,3,3,5,1,2,3,1,1,1,1,1,10,4,10,4,6,4,5,9,3,4,1,4,9,11,13,4,10,7,16,17,9,20,6,5,4,11,14,4,6,3,8,12,7,16,9,8,8,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394662749,Cassiano,1651,01/02/2001,15,0,0,0,0,188,0,2,2,1,3,3,1,3,2,3,2,2,3,4,3,4,5,1,6,4,2,7,5,2,6,5,7,8,6,5,6,1,10,4,7,13,2,7,8,12,9,6,14,13,9,11,6,20,7,10,4,9,11,5,8,3,13,6,12,3,5,10,19,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662750,André Luís,1651,19/01/2001,15,0,0,0,0,186,0,4,1,1,4,3,2,1,2,2,1,3,1,1,2,2,4,3,7,3,3,7,4,3,6,3,11,8,15,4,7,4,13,6,7,4,1,11,4,4,6,7,4,13,8,15,5,20,4,8,3,11,3,6,7,5,12,8,13,10,14,10,1,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662751,Alex,1651,31/01/2001,15,0,0,0,0,180,0,1,3,3,1,1,2,3,1,3,1,2,1,2,1,3,2,1,11,1,2,10,3,4,7,2,12,4,10,3,6,5,9,6,5,10,1,9,7,10,5,6,9,5,20,15,5,13,5,7,5,5,11,5,5,6,13,5,9,3,5,7,11,D LC,1,1,1,1,1,1,20,16,1,1,1,1,1,5,1
1394662752,Ziquinha,1651,23/09/2000,15,0,0,0,0,191,0,6,3,3,1,9,5,6,13,11,10,4,3,3,2,2,2,5,1,2,1,2,1,2,2,1,9,5,17,1,6,8,7,10,1,2,3,4,4,4,7,11,2,11,11,15,7,20,2,5,6,5,9,12,5,9,16,12,8,5,15,10,9,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394662753,Leandro Xavier,1651,26/01/2001,15,0,0,0,0,181,0,6,11,8,2,5,5,6,12,9,11,11,5,3,3,1,2,7,1,2,2,3,1,2,2,1,11,6,6,3,6,7,9,7,1,2,3,9,12,6,11,15,9,11,9,13,9,20,2,4,6,8,17,8,6,7,16,8,11,4,11,9,12,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394662754,Roberto Carlos,1651,28/08/2000,15,0,0,0,0,184,0,1,3,2,3,1,1,2,3,2,2,2,1,1,1,1,3,1,10,1,1,13,2,1,10,4,14,6,6,2,4,1,8,17,5,4,2,5,18,13,6,7,11,12,8,10,7,20,9,10,13,7,5,10,5,11,5,7,12,5,7,8,12,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662755,Luiz Eduardo,1651,03/09/2000,15,0,0,0,0,189,0,3,4,1,2,1,3,2,3,2,1,2,2,3,1,2,4,4,7,2,3,12,7,2,7,2,14,4,14,3,8,3,7,18,4,14,3,5,15,10,7,7,3,14,8,12,7,20,7,6,3,6,16,5,4,8,11,7,10,6,5,7,14,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662756,Luís Henrique,1651,01/05/2000,16,0,0,0,0,179,0,2,1,3,1,3,2,1,3,2,2,3,5,10,4,4,8,2,3,5,13,4,4,4,3,9,10,6,6,5,4,5,5,8,3,3,5,3,13,9,9,6,10,9,20,12,7,16,10,6,8,12,16,7,13,10,9,12,12,12,12,13,9,M RL,1,1,1,1,11,1,1,1,1,1,1,20,15,1,1
1394662757,Paulinho,1651,05/09/2000,15,0,0,0,0,175,0,2,1,1,1,2,2,3,3,3,1,2,6,9,7,4,9,8,2,6,2,5,4,5,5,13,5,6,6,5,6,5,6,5,11,6,7,3,9,13,8,8,10,9,20,6,9,9,8,4,4,15,9,9,7,6,4,7,5,14,9,9,7,M/AM L,1,1,1,1,19,1,1,1,1,1,1,20,1,1,1
1394662758,George,1651,29/10/2000,15,0,0,0,0,185,0,6,6,4,1,13,7,8,13,7,15,5,6,2,2,3,1,8,1,1,3,2,1,3,1,1,8,3,8,3,6,6,10,3,3,12,1,10,11,6,7,5,12,8,20,12,3,7,1,4,16,10,3,11,6,12,18,8,13,7,15,10,8,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394662759,Ronald,1651,02/12/2000,15,0,0,0,0,168,0,2,1,3,3,1,4,2,2,1,1,1,6,5,4,6,8,4,5,6,5,7,4,2,6,8,11,8,9,7,7,7,12,4,9,3,2,6,5,9,8,12,12,7,20,13,10,9,8,7,4,8,14,12,7,9,8,8,5,8,8,9,8,D L,1,1,1,1,1,1,1,20,6,1,1,1,1,7,1
1394662760,Edimário,1651,22/01/2001,15,0,0,0,0,172,0,2,1,1,1,3,1,1,3,3,1,2,5,5,3,2,10,3,4,1,4,6,5,2,5,7,11,6,6,5,9,4,7,9,6,5,5,7,16,13,8,8,5,6,8,10,7,20,13,8,5,8,9,6,13,9,7,9,12,7,5,10,14,D RL,1,1,1,1,1,1,1,15,20,1,1,1,1,7,9
1394662761,Diego Amorim,1651,17/04/2000,16,0,0,0,0,183,0,2,2,1,2,3,3,2,2,1,1,2,1,3,5,2,4,2,6,2,4,10,3,3,10,1,10,10,6,3,5,2,13,2,1,7,2,12,14,9,7,6,4,10,20,11,6,7,6,5,13,5,5,8,9,14,5,13,6,4,5,9,6,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662762,Tiago,1651,04/12/2000,15,0,0,0,0,178,0,4,2,3,1,1,1,3,3,1,1,1,3,3,1,1,5,5,4,3,2,6,3,1,10,5,7,6,13,2,7,3,7,15,3,7,2,9,7,10,7,10,12,10,15,9,8,20,6,8,5,3,5,1,4,4,2,7,9,7,12,15,1,D RC,1,1,1,1,1,1,20,11,19,1,1,1,1,1,7
1394662763,Tiago,1651,02/08/2000,15,0,0,0,0,194,0,1,1,1,1,1,1,1,2,3,1,3,11,15,5,3,8,9,2,3,3,6,5,1,2,13,8,4,3,5,2,4,5,7,11,13,6,2,13,9,11,9,3,13,20,12,13,9,11,7,6,9,7,9,10,3,7,7,14,9,10,18,6,M L,1,1,1,1,11,1,1,1,1,1,1,20,1,1,1
1394662764,Diego Simão,1651,08/10/2000,15,0,0,0,0,187,0,12,9,7,2,8,11,4,7,9,9,6,1,1,2,1,2,6,1,2,2,3,1,2,1,4,8,5,11,3,8,2,7,2,2,8,2,7,4,4,7,5,3,13,20,12,4,10,2,5,6,9,7,7,8,11,11,7,7,6,9,11,1,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394662765,Gilmar Napolitano,1651,10/12/2000,15,0,0,0,0,194,0,7,10,5,11,14,7,4,5,6,9,4,1,1,1,1,2,3,1,2,3,1,2,1,1,1,10,4,7,2,5,13,8,2,2,4,2,7,4,2,7,9,8,11,10,14,5,20,3,4,11,10,3,5,8,11,12,10,10,18,11,14,10,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394662766,Gilmar,1651,18/04/2000,16,0,0,0,0,172,0,1,3,2,2,2,1,3,3,1,3,1,1,2,3,1,5,1,1,2,2,3,3,3,4,3,10,5,11,3,5,2,11,4,2,5,1,5,7,9,12,13,4,6,20,14,14,7,6,2,11,14,10,10,8,12,13,8,10,10,5,6,6,D L,1,1,1,1,1,1,1,20,6,1,1,1,1,8,1
1394662767,Heitor Pena,1651,10/02/2000,16,0,0,0,0,179,0,3,1,3,2,1,1,1,2,3,1,1,1,1,1,3,3,1,6,1,1,7,2,2,8,6,9,5,11,4,4,2,12,9,4,9,1,6,4,2,8,8,13,7,8,12,7,20,7,7,5,8,5,4,6,4,18,9,5,4,9,10,3,D RLC,1,1,1,1,1,1,20,15,15,1,1,1,1,6,7
1394662768,José Roberto,1651,24/02/2000,16,0,0,0,0,177,0,3,1,2,3,2,2,4,1,3,2,1,1,1,2,1,4,1,8,2,1,9,3,1,4,2,9,9,6,1,4,1,7,3,2,11,1,11,11,6,7,4,13,9,9,14,6,20,4,9,6,10,12,5,7,8,16,4,14,1,5,10,19,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662769,Edmundo Marcelo,1651,22/03/2000,16,0,0,0,0,192,0,4,9,3,2,11,9,4,11,13,14,3,3,2,1,1,2,6,1,3,2,1,1,1,3,1,13,4,8,3,7,7,7,2,1,9,3,3,12,7,11,3,1,12,11,8,8,20,3,5,10,11,12,6,6,8,12,11,11,12,7,2,10,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394662770,Haroldo,1651,25/06/2000,16,0,0,0,0,177,0,2,2,1,1,3,1,1,2,2,3,3,2,5,4,5,5,4,5,4,4,6,4,7,6,4,14,6,11,5,6,4,11,15,3,1,1,8,10,14,9,5,7,10,20,12,5,16,9,6,14,5,13,7,9,3,16,10,4,9,14,2,5,D RL,1,1,1,1,1,1,1,20,19,1,1,1,1,6,8
1394662771,Jonatan,1651,02/01/2001,15,0,0,0,0,176,0,3,2,3,3,3,2,3,1,2,4,2,3,3,2,1,4,1,4,1,2,6,3,2,5,4,9,6,6,4,6,5,4,7,3,7,4,6,6,11,10,10,6,9,14,8,12,20,11,5,3,17,3,2,4,9,18,15,5,4,8,11,7,D R,1,1,1,1,1,1,1,6,20,1,1,1,1,1,6
1394662772,Fulgêncio,1651,29/01/2001,15,0,0,0,0,181,0,1,3,3,2,2,2,1,3,3,3,1,1,1,3,2,4,3,7,1,2,5,5,3,8,4,13,6,6,5,5,3,5,14,5,8,1,6,13,9,12,9,13,8,8,12,9,20,5,13,7,7,8,6,5,9,16,5,9,8,6,12,4,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662773,Weverton Santos,1651,28/09/2000,15,0,0,0,0,179,0,2,2,4,1,1,2,1,1,3,1,3,3,1,3,3,3,2,7,3,2,10,5,2,10,2,17,5,7,5,4,3,6,9,9,1,1,8,14,10,6,8,10,8,8,12,7,20,5,9,8,12,7,4,5,9,9,9,7,9,11,10,11,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1394662774,Bruno César,1651,23/03/2000,16,0,0,0,0,188,0,3,1,1,2,2,3,1,2,3,1,2,1,2,1,2,7,1,4,1,1,6,2,1,9,3,6,2,12,3,4,2,9,5,8,1,1,11,10,10,7,7,12,11,20,7,11,7,6,3,4,8,5,12,4,19,10,17,12,10,5,9,6,D LC,1,1,1,1,1,1,20,15,1,1,1,1,1,9,1
1394662775,Arlan,1651,06/03/2000,16,0,0,0,0,168,0,2,3,2,2,3,2,3,3,2,3,1,7,4,6,4,5,12,2,2,2,2,7,4,3,10,8,4,7,2,1,6,5,4,10,11,5,2,8,10,13,7,7,3,20,14,8,7,7,3,3,7,11,5,16,10,11,3,11,4,10,9,1,M/AM L,1,1,1,1,16,1,1,1,1,1,1,20,1,1,1
1394662776,José Wellington,1651,14/06/2000,16,0,0,0,0,189,0,3,3,1,1,2,3,1,1,1,1,2,4,4,10,5,9,3,3,2,2,2,5,3,3,6,15,6,8,6,2,5,4,7,10,5,3,1,15,12,13,10,6,12,20,8,9,7,7,4,4,12,3,9,2,5,7,13,7,7,11,7,5,AM RL,1,1,12,1,20,16,1,1,1,1,1,1,1,1,1
1394662777,José Alberto,1651,06/11/2000,15,0,0,0,0,183,0,2,3,2,3,4,1,2,1,2,1,1,5,7,6,3,8,9,1,4,1,2,8,4,2,6,8,4,4,5,2,6,6,6,8,10,4,2,12,7,9,9,4,10,15,12,9,20,5,5,8,11,10,2,10,8,14,13,11,9,9,5,6,M R,1,1,1,1,1,10,1,1,1,1,1,1,20,1,1
1394662778,Allan Reuber Tabosa,1651,14/02/2000,16,0,0,0,0,176,0,1,3,2,1,3,2,1,1,2,2,4,3,6,6,4,4,2,1,4,2,2,3,2,2,9,7,7,8,5,5,4,6,4,11,13,2,1,8,11,11,10,9,7,9,5,11,20,6,3,5,10,5,4,6,14,11,10,10,18,5,10,1,AM R,1,1,1,1,1,20,1,1,1,1,1,1,13,1,1
1394663835,Wágner,1651,10/03/2000,16,0,0,0,0,164,0,1,1,3,2,1,1,3,1,2,2,1,5,5,6,5,5,1,4,3,5,6,4,5,8,3,14,7,8,4,6,1,11,5,8,12,2,9,11,7,10,6,4,2,11,6,8,20,10,5,6,9,9,7,9,10,7,8,11,1,7,20,7,D R,1,1,1,1,1,1,1,7,20,1,1,1,1,1,9
